BatchID,cell_line,drug_name,Drug_concentration (microM),viability1,viability2,viability3,viability4,viability5,viability6,mu/muMax,X/X0
1,UWB1289BRCA1,Dasatinib,0.0014,1.001,1.001,1.075,1.048,1.035,0.962,1.012,1.016
1,UWB1289BRCA1,Dasatinib,0.004,0.947,1.024,0.941,0.974,0.961,0.938,0.970,0.959
1,UWB1289BRCA1,Dasatinib,0.012,0.854,0.763,0.894,0.931,0.812,0.895,0.913,0.887
1,UWB1289BRCA1,Dasatinib,0.037,0.655,0.652,0.624,0.633,0.509,0.518,0.700,0.660
1,UWB1289BRCA1,Dasatinib,0.11,0.249,0.302,0.267,0.239,0.168,0.257,0.112,0.292
1,UWB1289BRCA1,Dasatinib,0.34,0.244,0.201,0.220,0.261,0.216,0.265,0.057,0.271
1,UWB1289BRCA1,Dasatinib,1,0.175,0.207,0.230,0.223,0.140,0.203,-0.025,0.242
1,UWB1289BRCA1,Dasatinib,3,0.174,0.211,0.147,0.209,0.151,0.145,-0.173,0.197
1,VCAP,Dasatinib,0.0014,1.153,1.098,1.189,0.991,1.040,0.959,1.061,1.088
1,VCAP,Dasatinib,0.004,1.114,1.111,1.115,1.107,1.022,0.997,1.095,1.141
1,VCAP,Dasatinib,0.012,1.035,1.089,1.053,1.139,0.979,1.070,1.055,1.079
1,VCAP,Dasatinib,0.037,1.011,0.973,1.098,1.136,1.027,1.027,1.024,1.034
1,VCAP,Dasatinib,0.11,0.904,0.937,1.043,1.057,0.913,0.946,0.945,0.926
1,VCAP,Dasatinib,0.34,0.991,1.059,1.001,0.958,0.946,0.889,0.976,0.968
1,VCAP,Dasatinib,1,0.997,1.105,1.120,0.973,0.902,1.035,1.014,1.020
1,VCAP,Dasatinib,3,0.899,0.927,0.877,0.867,0.997,0.918,0.912,0.885
1,ZR751,Dasatinib,0.0014,0.750,0.690,0.879,0.888,0.808,0.747,0.698,0.658
1,ZR751,Dasatinib,0.004,0.776,0.706,0.791,0.770,0.770,0.860,0.689,0.650
1,ZR751,Dasatinib,0.012,0.888,0.735,0.849,0.679,0.809,0.737,0.689,0.650
1,ZR751,Dasatinib,0.037,0.880,0.658,0.835,0.815,0.887,0.864,0.803,0.761
1,ZR751,Dasatinib,0.11,0.873,0.859,0.763,0.765,0.873,0.881,0.826,0.786
1,ZR751,Dasatinib,0.34,0.821,0.841,0.758,1.251,0.873,0.804,0.776,0.733
1,ZR751,Dasatinib,1,0.955,1.115,1.098,1.271,0.882,0.880,1.032,1.045
1,ZR751,Dasatinib,3,1.024,1.001,0.924,0.993,1.126,0.922,0.997,0.995
1,A2058,Dexamethasone,0.0045,1.075,1.084,1.113,1.199,1.024,1.162,1.048,1.068
1,A2058,Dexamethasone,0.014,1.103,1.044,1.119,1.129,1.071,1.222,1.053,1.077
1,A2058,Dexamethasone,0.04,1.057,1.147,1.146,1.220,1.153,1.163,1.071,1.104
1,A2058,Dexamethasone,0.12,1.042,1.162,1.152,1.206,1.132,1.160,1.074,1.108
1,A2058,Dexamethasone,0.37,1.162,1.224,1.129,1.216,1.102,0.134,1.069,1.100
1,A2058,Dexamethasone,1.1,1.076,1.175,1.041,1.194,1.117,1.194,1.069,1.101
1,A2058,Dexamethasone,3.4,1.065,1.199,1.207,1.244,1.113,0.387,1.074,1.107
1,A2058,Dexamethasone,10,1.139,1.211,1.012,1.216,1.175,1.198,1.087,1.128
1,A2780,Dexamethasone,0.0045,1.001,1.015,0.922,0.977,1.072,0.980,0.996,0.995
1,A2780,Dexamethasone,0.014,1.033,1.095,1.076,1.018,1.095,0.970,1.021,1.029
1,A2780,Dexamethasone,0.04,1.005,1.005,1.109,0.928,1.074,0.914,1.002,1.003
1,A2780,Dexamethasone,0.12,1.036,0.965,1.079,1.041,1.046,1.047,1.017,1.023
1,A2780,Dexamethasone,0.37,1.014,1.032,1.036,0.972,0.943,0.949,0.997,0.996
1,A2780,Dexamethasone,1.1,0.888,0.982,1.061,1.025,0.982,1.008,0.998,0.997
1,A2780,Dexamethasone,3.4,1.101,1.088,1.054,0.947,0.952,0.886,1.001,1.002
1,A2780,Dexamethasone,10,1.056,1.078,1.083,1.055,0.960,1.008,1.021,1.029
1,A375,Dexamethasone,0.0045,0.877,0.811,0.976,0.953,1.084,1.100,0.983,0.976
1,A375,Dexamethasone,0.014,0.894,0.893,1.016,1.070,1.116,1.031,1.011,1.015
1,A375,Dexamethasone,0.04,0.934,0.874,1.026,0.955,1.066,1.067,0.995,0.994
1,A375,Dexamethasone,0.12,1.036,0.895,1.039,1.005,1.180,1.158,1.018,1.025
1,A375,Dexamethasone,0.37,1.035,1.011,1.080,1.073,1.083,1.043,1.027,1.038
1,A375,Dexamethasone,1.1,1.040,1.029,0.987,0.973,1.085,1.054,1.016,1.023
1,A375,Dexamethasone,3.4,1.090,1.059,1.159,1.059,1.066,1.034,1.029,1.041
1,A375,Dexamethasone,10,1.086,1.127,0.989,1.048,0.997,0.989,1.011,1.015
1,A427,Dexamethasone,0.0045,0.944,1.213,0.846,NULL,NULL,NULL,0.969,0.958
1,A427,Dexamethasone,0.014,1.060,1.128,1.185,NULL,NULL,NULL,1.065,1.095
1,A427,Dexamethasone,0.04,0.874,0.862,0.970,NULL,NULL,NULL,0.927,0.904
1,A427,Dexamethasone,0.12,0.913,1.032,1.059,NULL,NULL,NULL,1.017,1.024
1,A427,Dexamethasone,0.37,0.931,0.940,1.188,NULL,NULL,NULL,0.966,0.955
1,A427,Dexamethasone,1.1,0.944,0.931,1.109,NULL,NULL,NULL,0.969,0.957
1,A427,Dexamethasone,3.4,1.014,1.032,0.970,NULL,NULL,NULL,1.008,1.011
1,A427,Dexamethasone,10,1.083,0.906,0.957,NULL,NULL,NULL,0.976,0.968
1,CAOV3,Dexamethasone,0.0045,0.815,0.828,0.674,0.710,0.829,0.865,0.744,0.701
1,CAOV3,Dexamethasone,0.014,0.604,0.912,0.714,0.720,0.572,0.703,0.552,0.537
1,CAOV3,Dexamethasone,0.04,0.882,0.727,0.891,0.805,0.735,0.654,0.659,0.624
1,CAOV3,Dexamethasone,0.12,0.708,0.711,0.784,0.773,0.621,0.635,0.553,0.538
1,CAOV3,Dexamethasone,0.37,0.630,0.771,0.826,0.801,0.719,0.728,0.624,0.594
1,CAOV3,Dexamethasone,1.1,0.605,0.638,0.677,0.655,0.803,0.662,0.456,0.470
1,CAOV3,Dexamethasone,3.4,0.765,0.833,0.682,0.681,0.711,0.715,0.560,0.543
1,CAOV3,Dexamethasone,10,0.873,0.742,0.683,0.619,0.732,0.701,0.566,0.548
1,COLO320DM,Dexamethasone,0.0045,0.905,0.963,0.953,1.165,1.143,0.913,0.984,0.979
1,COLO320DM,Dexamethasone,0.014,1.058,0.976,0.951,1.091,1.044,0.875,1.004,1.005
1,COLO320DM,Dexamethasone,0.04,0.894,0.951,1.134,1.105,0.934,0.942,0.980,0.973
1,COLO320DM,Dexamethasone,0.12,0.903,1.040,1.127,0.953,1.051,0.898,0.999,0.998
1,COLO320DM,Dexamethasone,0.37,1.061,1.088,1.129,1.132,0.833,1.069,1.027,1.038
1,COLO320DM,Dexamethasone,1.1,0.964,1.067,1.079,0.886,1.019,0.925,0.997,0.996
1,COLO320DM,Dexamethasone,3.4,1.214,1.143,1.093,0.969,1.090,0.908,1.032,1.045
1,COLO320DM,Dexamethasone,10,0.924,1.000,0.882,1.087,0.905,1.035,0.986,0.981
1,DLD1,Dexamethasone,0.0045,0.994,0.909,1.025,0.996,1.024,1.034,1.004,1.005
1,DLD1,Dexamethasone,0.014,0.955,0.938,0.991,1.087,1.045,1.052,1.007,1.010
1,DLD1,Dexamethasone,0.04,0.960,0.913,0.965,1.012,0.962,0.928,0.985,0.979
1,DLD1,Dexamethasone,0.12,0.928,0.904,0.933,1.030,0.942,0.952,0.975,0.966
1,DLD1,Dexamethasone,0.37,1.080,1.030,1.053,1.097,0.992,0.821,1.016,1.022
1,DLD1,Dexamethasone,1.1,1.001,1.044,1.011,1.034,1.083,1.042,1.014,1.020
1,DLD1,Dexamethasone,3.4,1.017,1.125,1.010,1.012,0.860,1.002,1.004,1.006
1,DLD1,Dexamethasone,10,1.114,1.121,0.978,1.019,0.995,0.964,1.003,1.004
1,EFM192B,Dexamethasone,0.0045,1.092,1.018,0.943,0.933,0.949,0.974,0.964,0.952
1,EFM192B,Dexamethasone,0.014,1.059,1.010,1.136,1.052,1.090,1.012,1.049,1.071
1,EFM192B,Dexamethasone,0.04,1.015,1.049,1.011,1.166,1.099,1.210,1.065,1.094
1,EFM192B,Dexamethasone,0.12,0.981,1.035,1.127,1.174,1.186,1.032,1.071,1.103
1,EFM192B,Dexamethasone,0.37,1.077,1.007,1.196,1.139,0.864,0.987,1.038,1.053
1,EFM192B,Dexamethasone,1.1,1.079,0.958,1.068,1.014,1.200,1.089,1.064,1.093
1,EFM192B,Dexamethasone,3.4,1.158,1.105,1.056,1.056,0.955,0.927,1.049,1.071
1,EFM192B,Dexamethasone,10,1.071,1.188,1.082,1.042,1.080,0.941,1.066,1.096
1,ES2,Dexamethasone,0.0045,1.173,0.779,1.058,1.160,1.141,1.186,1.069,1.100
1,ES2,Dexamethasone,0.014,1.185,1.151,1.119,1.063,1.024,1.143,1.060,1.087
1,ES2,Dexamethasone,0.04,1.122,1.215,1.062,1.259,1.120,1.117,1.056,1.081
1,ES2,Dexamethasone,0.12,1.184,1.036,1.268,1.210,1.135,1.178,1.081,1.119
1,ES2,Dexamethasone,0.37,1.027,1.125,1.042,1.054,1.083,1.017,1.023,1.032
1,ES2,Dexamethasone,1.1,1.091,1.162,1.100,1.088,1.039,1.147,1.045,1.064
1,ES2,Dexamethasone,3.4,1.185,1.196,1.025,1.127,1.155,0.996,1.065,1.094
1,ES2,Dexamethasone,10,1.190,1.179,1.072,1.045,1.213,1.169,1.079,1.115
1,HCT116,Dexamethasone,0.0045,0.953,0.794,1.071,1.030,1.009,1.147,1.009,1.013
1,HCT116,Dexamethasone,0.014,0.888,0.857,1.126,1.005,0.965,0.960,0.981,0.974
1,HCT116,Dexamethasone,0.04,0.911,0.830,1.071,0.961,0.986,0.959,0.980,0.972
1,HCT116,Dexamethasone,0.12,0.867,0.887,1.131,0.996,0.938,1.028,0.984,0.977
1,HCT116,Dexamethasone,0.37,0.981,0.967,1.070,1.054,0.879,0.903,0.987,0.982
1,HCT116,Dexamethasone,1.1,1.015,1.098,1.013,0.915,0.926,0.936,0.987,0.982
1,HCT116,Dexamethasone,3.4,1.037,1.005,1.013,1.055,0.921,0.790,1.004,1.006
1,HCT116,Dexamethasone,10,1.065,0.998,0.963,0.923,0.952,0.930,0.978,0.971
1,HT144,Dexamethasone,0.0045,1.049,0.964,1.072,1.050,1.033,0.978,1.030,1.042
1,HT144,Dexamethasone,0.014,0.958,0.975,1.131,1.080,1.087,1.071,1.053,1.077
1,HT144,Dexamethasone,0.04,1.098,0.997,1.057,1.129,1.120,1.079,1.062,1.090
1,HT144,Dexamethasone,0.12,1.047,0.983,1.079,1.193,1.155,1.086,1.058,1.084
1,HT144,Dexamethasone,0.37,1.078,1.028,1.114,0.935,0.984,0.992,1.007,1.010
1,HT144,Dexamethasone,1.1,1.182,1.107,1.041,1.039,1.061,1.052,1.040,1.057
1,HT144,Dexamethasone,3.4,1.158,1.147,1.007,1.118,1.017,0.967,1.048,1.068
1,HT144,Dexamethasone,10,1.085,1.212,1.067,1.125,1.051,1.001,1.053,1.077
1,HT29,Dexamethasone,0.0045,0.790,0.921,1.034,0.941,1.026,1.039,0.993,0.990
1,HT29,Dexamethasone,0.014,1.029,0.980,1.161,1.180,0.901,0.915,1.002,1.002
1,HT29,Dexamethasone,0.04,0.834,0.936,0.967,0.962,0.910,0.982,0.977,0.969
1,HT29,Dexamethasone,0.12,0.950,0.961,1.058,1.101,0.931,0.920,0.980,0.973
1,HT29,Dexamethasone,0.37,0.961,1.037,1.102,1.071,1.116,0.991,1.023,1.033
1,HT29,Dexamethasone,1.1,0.924,0.975,0.959,1.013,1.088,1.148,0.998,0.997
1,HT29,Dexamethasone,3.4,1.032,1.097,1.068,0.988,0.931,1.056,1.019,1.026
1,HT29,Dexamethasone,10,1.017,1.032,0.655,1.043,1.007,1.082,1.011,1.015
1,KPL1,Dexamethasone,0.0045,0.855,0.761,0.837,0.901,1.034,0.981,0.910,0.883
1,KPL1,Dexamethasone,0.014,0.773,0.712,0.981,0.871,0.854,0.819,0.877,0.844
1,KPL1,Dexamethasone,0.04,0.715,0.706,0.859,0.864,0.948,0.902,0.898,0.868
1,KPL1,Dexamethasone,0.12,0.723,0.712,0.835,0.777,0.814,0.700,0.802,0.760
1,KPL1,Dexamethasone,0.37,0.837,0.706,0.882,0.882,0.838,0.758,0.878,0.845
1,KPL1,Dexamethasone,1.1,0.865,0.783,0.883,0.835,0.820,0.746,0.870,0.835
1,KPL1,Dexamethasone,3.4,0.872,0.794,0.868,0.858,0.826,0.684,0.882,0.849
1,KPL1,Dexamethasone,10,0.805,0.845,0.773,0.805,0.786,0.776,0.843,0.804
1,LNCAP,Dexamethasone,0.0045,0.869,0.917,1.160,1.140,0.980,1.142,1.036,1.051
1,LNCAP,Dexamethasone,0.014,0.567,1.115,1.057,0.887,1.262,0.645,0.983,0.976
1,LNCAP,Dexamethasone,0.04,0.755,0.814,1.033,0.963,1.031,0.872,0.947,0.930
1,LNCAP,Dexamethasone,0.12,0.930,0.718,1.051,0.932,1.069,1.127,0.995,0.993
1,LNCAP,Dexamethasone,0.37,1.162,0.883,1.196,0.947,0.423,0.970,0.974,0.965
1,LNCAP,Dexamethasone,1.1,0.910,0.922,1.128,1.053,1.050,0.638,0.991,0.988
1,LNCAP,Dexamethasone,3.4,1.282,0.728,0.988,0.859,1.310,0.938,0.977,0.969
1,LNCAP,Dexamethasone,10,1.006,1.216,0.836,1.117,1.201,1.350,1.090,1.133
1,LOVO,Dexamethasone,0.0045,0.817,0.871,0.865,1.012,1.002,0.961,0.958,0.943
1,LOVO,Dexamethasone,0.014,0.732,1.126,0.850,0.905,0.972,0.873,0.943,0.924
1,LOVO,Dexamethasone,0.04,0.838,0.955,0.756,0.908,0.708,0.607,0.891,0.860
1,LOVO,Dexamethasone,0.12,0.798,1.105,0.788,0.991,0.770,0.816,0.897,0.867
1,LOVO,Dexamethasone,0.37,0.754,0.786,0.691,0.982,0.973,0.970,0.938,0.917
1,LOVO,Dexamethasone,1.1,0.950,0.650,0.478,0.891,0.658,0.776,0.840,0.801
1,LOVO,Dexamethasone,3.4,0.775,0.887,0.957,0.774,0.871,0.834,0.923,0.899
1,LOVO,Dexamethasone,10,0.860,0.882,0.533,0.848,0.805,1.006,0.924,0.900
1,MDAMB436,Dexamethasone,0.0045,1.154,1.001,1.109,1.195,1.042,1.021,1.041,1.058
1,MDAMB436,Dexamethasone,0.014,1.065,0.966,1.053,1.141,1.046,0.992,1.027,1.038
1,MDAMB436,Dexamethasone,0.04,1.018,1.066,1.048,1.159,1.183,1.023,1.031,1.044
1,MDAMB436,Dexamethasone,0.12,0.953,1.008,1.015,1.031,1.051,1.045,1.013,1.018
1,MDAMB436,Dexamethasone,0.37,1.098,1.015,1.141,1.003,1.057,1.003,1.020,1.028
1,MDAMB436,Dexamethasone,1.1,0.973,1.095,0.974,1.068,1.107,1.009,1.021,1.030
1,MDAMB436,Dexamethasone,3.4,1.042,1.031,1.062,0.959,0.961,0.964,0.999,0.998
1,MDAMB436,Dexamethasone,10,1.117,0.978,0.948,1.035,0.983,1.032,1.004,1.006
1,MSTO,Dexamethasone,0.0045,0.696,0.675,1.003,1.157,0.882,1.148,0.975,0.966
1,MSTO,Dexamethasone,0.014,0.605,0.749,0.785,0.937,0.800,1.021,0.902,0.873
1,MSTO,Dexamethasone,0.04,0.602,0.660,0.756,0.869,0.664,1.034,0.856,0.819
1,MSTO,Dexamethasone,0.12,0.547,0.632,0.730,0.790,0.603,0.912,0.838,0.799
1,MSTO,Dexamethasone,0.37,0.600,0.774,0.733,0.762,0.677,0.874,0.878,0.844
1,MSTO,Dexamethasone,1.1,0.621,0.834,0.752,0.882,0.686,0.875,0.902,0.873
1,MSTO,Dexamethasone,3.4,0.603,0.891,0.650,0.951,0.691,0.883,0.899,0.870
1,MSTO,Dexamethasone,10,0.653,0.724,0.588,0.980,0.612,0.825,0.843,0.805
1,NCIH1650,Dexamethasone,0.0045,1.005,1.100,0.926,1.008,0.932,0.898,0.976,0.967
1,NCIH1650,Dexamethasone,0.014,0.977,1.014,0.960,0.921,0.950,0.907,0.964,0.952
1,NCIH1650,Dexamethasone,0.04,0.984,0.995,0.967,1.004,0.966,0.886,0.981,0.974
1,NCIH1650,Dexamethasone,0.12,0.945,1.071,1.007,0.817,0.924,0.965,0.965,0.952
1,NCIH1650,Dexamethasone,0.37,0.969,1.020,0.990,0.989,0.939,0.849,0.984,0.977
1,NCIH1650,Dexamethasone,1.1,0.869,0.880,0.856,0.835,0.962,0.978,0.896,0.866
1,NCIH1650,Dexamethasone,3.4,1.040,1.059,1.004,0.899,0.864,0.868,0.962,0.948
1,NCIH1650,Dexamethasone,10,0.984,0.979,0.871,0.842,0.946,1.042,0.971,0.960
1,NCIH2122,Dexamethasone,0.0045,0.906,0.825,0.977,0.868,0.801,0.794,0.925,0.901
1,NCIH2122,Dexamethasone,0.014,0.845,0.736,0.798,0.717,0.743,0.590,0.864,0.828
1,NCIH2122,Dexamethasone,0.04,0.795,0.762,0.761,0.712,0.692,0.670,0.862,0.826
1,NCIH2122,Dexamethasone,0.12,0.645,0.678,0.666,0.661,0.577,0.597,0.807,0.766
1,NCIH2122,Dexamethasone,0.37,0.704,0.650,0.736,0.719,0.670,0.590,0.830,0.790
1,NCIH2122,Dexamethasone,1.1,0.726,0.687,0.598,0.527,0.581,0.682,0.798,0.756
1,NCIH2122,Dexamethasone,3.4,0.752,0.726,0.792,0.733,0.649,0.649,0.858,0.821
1,NCIH2122,Dexamethasone,10,0.658,0.677,0.621,0.622,0.634,0.696,0.803,0.761
1,NCIH23,Dexamethasone,0.0045,0.977,0.987,0.865,0.862,1.106,1.013,0.991,0.988
1,NCIH23,Dexamethasone,0.014,1.061,1.052,0.951,0.942,0.954,0.899,0.977,0.969
1,NCIH23,Dexamethasone,0.04,0.952,0.942,1.025,0.889,0.975,0.937,0.975,0.965
1,NCIH23,Dexamethasone,0.12,0.982,0.970,1.060,0.964,0.955,0.760,0.984,0.978
1,NCIH23,Dexamethasone,0.37,0.952,1.007,0.955,0.996,1.072,0.969,0.992,0.989
1,NCIH23,Dexamethasone,1.1,0.986,0.898,0.980,1.084,0.977,0.983,0.991,0.988
1,NCIH23,Dexamethasone,3.4,0.982,1.101,1.031,0.923,0.895,0.904,0.977,0.969
1,NCIH23,Dexamethasone,10,1.011,0.989,0.995,0.949,0.967,0.972,0.991,0.987
1,NCIH460,Dexamethasone,0.0045,0.874,0.770,0.912,0.914,0.972,0.955,0.940,0.920
1,NCIH460,Dexamethasone,0.014,0.939,0.869,1.033,0.939,1.005,1.019,0.981,0.975
1,NCIH460,Dexamethasone,0.04,0.831,0.839,0.999,0.968,0.881,0.945,0.940,0.920
1,NCIH460,Dexamethasone,0.12,0.894,0.796,0.966,0.962,0.898,1.004,0.952,0.936
1,NCIH460,Dexamethasone,0.37,1.012,0.999,0.873,0.856,0.882,0.958,0.945,0.927
1,NCIH460,Dexamethasone,1.1,0.945,0.976,0.985,0.975,0.910,0.960,0.978,0.970
1,NCIH460,Dexamethasone,3.4,0.974,1.072,0.849,0.875,0.910,0.935,0.947,0.929
1,NCIH460,Dexamethasone,10,0.988,1.025,1.038,1.013,0.923,0.949,1.000,1.000
1,NCIH520,Dexamethasone,0.0045,0.976,0.923,0.904,1.092,1.047,0.905,0.980,0.972
1,NCIH520,Dexamethasone,0.014,1.016,0.958,0.996,1.290,1.044,0.969,1.002,1.003
1,NCIH520,Dexamethasone,0.04,0.816,1.039,1.053,0.855,1.312,0.953,0.998,0.998
1,NCIH520,Dexamethasone,0.12,0.911,1.099,0.958,0.888,1.082,0.944,0.980,0.973
1,NCIH520,Dexamethasone,0.37,1.078,0.731,1.147,1.047,1.146,1.138,1.040,1.058
1,NCIH520,Dexamethasone,1.1,1.204,0.870,1.054,0.727,1.261,0.881,0.987,0.982
1,NCIH520,Dexamethasone,3.4,1.042,0.867,1.121,0.982,1.098,1.020,1.012,1.017
1,NCIH520,Dexamethasone,10,0.871,0.946,0.795,0.795,1.278,0.973,0.962,0.949
1,OCUBM,Dexamethasone,0.0045,0.888,0.861,0.990,1.208,1.182,0.964,0.973,0.964
1,OCUBM,Dexamethasone,0.014,0.925,0.891,1.109,1.167,1.082,0.828,1.004,1.005
1,OCUBM,Dexamethasone,0.04,0.769,0.839,0.934,1.043,0.932,1.159,0.922,0.897
1,OCUBM,Dexamethasone,0.12,0.853,0.863,1.000,1.052,0.948,0.941,0.935,0.914
1,OCUBM,Dexamethasone,0.37,0.925,1.066,1.065,1.111,1.092,1.062,1.071,1.104
1,OCUBM,Dexamethasone,1.1,0.971,1.086,1.045,1.083,0.972,0.840,1.009,1.013
1,OCUBM,Dexamethasone,3.4,1.023,1.066,1.095,0.978,0.881,0.988,1.006,1.008
1,OCUBM,Dexamethasone,10,1.022,0.943,1.002,1.001,0.973,0.959,0.985,0.979
1,OV90,Dexamethasone,0.0045,0.971,0.965,0.914,1.035,1.019,0.967,0.975,0.966
1,OV90,Dexamethasone,0.014,0.992,1.014,1.004,1.022,0.982,0.970,0.998,0.998
1,OV90,Dexamethasone,0.04,0.938,0.937,0.942,1.015,0.989,0.955,0.958,0.943
1,OV90,Dexamethasone,0.12,0.942,0.943,1.025,1.043,1.024,1.022,1.018,1.025
1,OV90,Dexamethasone,0.37,1.037,1.062,1.034,0.939,0.961,0.951,0.998,0.997
1,OV90,Dexamethasone,1.1,0.995,0.950,0.972,1.064,1.030,0.959,0.987,0.982
1,OV90,Dexamethasone,3.4,1.018,1.077,0.966,0.953,0.887,0.919,0.967,0.956
1,OV90,Dexamethasone,10,0.934,0.897,0.810,0.932,1.013,1.034,0.945,0.927
1,OVCAR3,Dexamethasone,0.0045,1.047,1.026,1.176,1.120,1.032,0.960,1.038,1.054
1,OVCAR3,Dexamethasone,0.014,1.139,1.103,1.123,0.979,0.994,0.957,1.047,1.067
1,OVCAR3,Dexamethasone,0.04,0.951,1.008,1.074,0.997,1.002,0.925,0.999,0.999
1,OVCAR3,Dexamethasone,0.12,0.979,1.008,1.036,1.025,1.056,0.829,1.016,1.023
1,OVCAR3,Dexamethasone,0.37,1.039,0.903,1.103,1.030,0.969,1.089,1.034,1.048
1,OVCAR3,Dexamethasone,1.1,1.001,1.045,0.845,1.045,1.125,1.119,1.043,1.062
1,OVCAR3,Dexamethasone,3.4,1.368,1.139,1.012,0.811,0.946,0.852,0.979,0.972
1,OVCAR3,Dexamethasone,10,1.183,1.181,0.876,0.886,1.074,1.106,1.085,1.125
1,PA1,Dexamethasone,0.0045,0.801,0.851,0.820,1.058,0.938,0.984,0.948,0.931
1,PA1,Dexamethasone,0.014,0.810,0.828,0.929,0.874,1.013,0.856,0.932,0.911
1,PA1,Dexamethasone,0.04,0.793,0.846,0.999,1.224,0.910,0.900,0.954,0.938
1,PA1,Dexamethasone,0.12,0.815,1.039,0.941,1.077,1.059,0.883,0.995,0.994
1,PA1,Dexamethasone,0.37,0.757,0.810,0.985,1.025,0.891,0.902,0.949,0.932
1,PA1,Dexamethasone,1.1,0.904,0.872,1.008,1.203,0.851,0.880,0.947,0.929
1,PA1,Dexamethasone,3.4,0.928,0.826,0.886,1.102,0.822,0.900,0.947,0.929
1,PA1,Dexamethasone,10,0.920,0.860,0.915,0.984,0.849,1.004,0.960,0.946
1,RKO,Dexamethasone,0.0045,0.819,0.762,1.106,1.022,0.963,1.017,0.995,0.994
1,RKO,Dexamethasone,0.014,0.814,0.832,1.120,1.115,1.062,1.095,1.035,1.049
1,RKO,Dexamethasone,0.04,0.823,0.732,1.092,1.035,1.003,1.055,1.009,1.012
1,RKO,Dexamethasone,0.12,0.819,0.816,1.177,1.105,1.082,1.059,1.031,1.045
1,RKO,Dexamethasone,0.37,0.929,1.012,1.113,1.144,0.940,1.012,1.006,1.008
1,RKO,Dexamethasone,1.1,1.070,1.043,1.031,1.053,0.918,0.914,1.017,1.023
1,RKO,Dexamethasone,3.4,0.990,1.026,1.120,1.039,0.993,0.948,1.004,1.006
1,RKO,Dexamethasone,10,1.045,1.046,1.050,1.003,0.917,0.927,1.011,1.015
1,RPMI7951,Dexamethasone,0.0045,1.036,1.014,1.077,1.150,1.105,1.018,1.053,1.077
1,RPMI7951,Dexamethasone,0.014,1.051,1.102,1.111,1.155,1.124,1.138,1.109,1.163
1,RPMI7951,Dexamethasone,0.04,1.029,1.037,1.038,1.188,1.117,1.062,1.048,1.069
1,RPMI7951,Dexamethasone,0.12,1.101,1.062,1.172,1.178,1.065,1.066,1.078,1.115
1,RPMI7951,Dexamethasone,0.37,1.142,1.175,1.103,1.104,1.152,1.095,1.113,1.169
1,RPMI7951,Dexamethasone,1.1,1.138,1.099,1.088,1.114,1.088,1.138,1.099,1.147
1,RPMI7951,Dexamethasone,3.4,1.141,1.096,1.143,1.155,1.071,1.082,1.109,1.164
1,RPMI7951,Dexamethasone,10,1.036,1.118,1.159,1.100,1.122,1.131,1.110,1.165
1,SKMEL30,Dexamethasone,0.0045,0.959,0.900,1.386,1.120,1.187,1.043,1.038,1.054
1,SKMEL30,Dexamethasone,0.014,0.996,0.905,1.196,1.149,1.124,1.072,1.045,1.064
1,SKMEL30,Dexamethasone,0.04,0.924,0.901,1.187,1.116,1.121,1.013,1.030,1.042
1,SKMEL30,Dexamethasone,0.12,0.979,0.862,1.182,1.067,1.040,1.069,1.025,1.035
1,SKMEL30,Dexamethasone,0.37,1.120,0.936,1.061,1.134,0.875,0.949,1.002,1.003
1,SKMEL30,Dexamethasone,1.1,1.106,0.878,1.120,0.970,1.046,0.951,1.004,1.005
1,SKMEL30,Dexamethasone,3.4,1.223,1.065,1.259,1.063,0.739,1.005,1.030,1.042
1,SKMEL30,Dexamethasone,10,0.906,0.938,1.056,0.973,1.052,0.974,0.987,0.982
1,SKMES1,Dexamethasone,0.0045,0.984,1.047,0.997,1.038,0.957,1.160,1.009,1.013
1,SKMES1,Dexamethasone,0.014,0.960,1.039,0.972,1.010,1.003,1.018,1.003,1.005
1,SKMES1,Dexamethasone,0.04,0.853,0.964,0.939,0.988,0.902,0.955,0.971,0.961
1,SKMES1,Dexamethasone,0.12,0.931,0.900,0.880,0.890,0.944,0.927,0.952,0.935
1,SKMES1,Dexamethasone,0.37,0.802,0.887,1.055,1.020,0.859,0.896,0.939,0.919
1,SKMES1,Dexamethasone,1.1,0.880,0.910,0.976,0.913,0.915,0.836,0.951,0.934
1,SKMES1,Dexamethasone,3.4,0.968,0.976,0.939,0.999,0.851,0.827,0.975,0.965
1,SKMES1,Dexamethasone,10,0.919,1.000,0.947,1.020,0.908,0.994,0.984,0.978
1,SKOV3,Dexamethasone,0.0045,0.958,0.954,0.953,NULL,NULL,NULL,0.973,0.963
1,SKOV3,Dexamethasone,0.014,0.920,0.907,0.860,NULL,NULL,NULL,0.944,0.925
1,SKOV3,Dexamethasone,0.04,1.127,0.857,0.773,NULL,NULL,NULL,0.911,0.884
1,SKOV3,Dexamethasone,0.12,0.844,1.057,0.836,NULL,NULL,NULL,0.903,0.874
1,SKOV3,Dexamethasone,0.37,0.955,1.117,0.852,NULL,NULL,NULL,0.973,0.964
1,SKOV3,Dexamethasone,1.1,1.001,0.918,0.866,NULL,NULL,NULL,0.951,0.935
1,SKOV3,Dexamethasone,3.4,0.958,0.993,0.955,NULL,NULL,NULL,0.976,0.967
