Name,SMILE,ECFP_6
PACLITAXEL,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000100000100000000000001010000000000000000000000000000000000000000100100001000000000000000000000000000010100000000000000001000000000000100000000000000000000000000000000000000010000000000001000100000000000010000000000000000000000001000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000001000000000000000000010100000000000000000100000000000000000000000100000100000000010100000000001001000000000000100000000001000000001001000000000000001000000000000000000000000001000000000000000000000000001000000000100001000010000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000100100000000000000000000000000000000000000000000000001000010100000000000000010000000000000000000001001000000000000000000000000000100000000000001000000000000000000000101000000000000000010000000011100000000000000000000100000000010000000000000100000000000000000000000010000000000000101000000000000000010000000000000001100000000000000000100000001000000000000000000000000000000000001000010000000000000000000000011000000000000010000100000000000000000000000001000000001000000000000000001011000010000001000000001000000000100000000000000000000000000100000000100000000000000101000000000000000000000000000000000000000000010000000000010000100000000000000000000000000000000000000000000100000000000000000000000000000000010000000100000000000000000000001000000000000011000000000110000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000100000010000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000010000000000000010000000010000000000000100000100100000000000000000000000000000000000000000000000000000
PD325901,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,01000000000110000000000000000000000100000000000000000000000000000001000000000000100000001000000000000000100000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000010000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000100010000100000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000001000000000000000000000000000000000100010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000100000000000000000000010000000000000000100000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000010000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000010000000100000000000001000000000001000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000100000000000000001000000000000000000000000000000000000000001010000000000100000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000001000000000
SN-38,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,00000000010000001000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000100000000000000000100000000000000000001000000010000010010010000000100100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000001000000100000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000001100000110000000100000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000010100000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000001000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000001001000000000000000000000000000000000000100000000000000000000001000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010001000000000010000000000000000000100000000000000000000100000000000000000000000000000000000001000001000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000100001000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000010000000000001000000000000100000000000000000010000000000000000000100000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000010000010000000000000000000000000000000000000000000000010000000000000
SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,00000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001010000101000000000000000000000000000000000000010000000000000000000000001000001000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000010000000000010000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000001000000000000000010000000010000100000000000000010000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000010000001000000000000000000010100000000000000000000000000000100010000000000010000000000000000000100000000000000000000000001000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001001000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000010000000000000000000000000000000000000000000000000100000000000000000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000001001000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000011000000000000000000000000000100100000000000000000000010000
SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,10000000100000000000000000000000000000000000000000000000010000000000000000100000100000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000110000000000000000000000000000100000000000010000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000110000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000011000100000000000000000000000000000100010000000000000000000000000100000000000000001000000000000000000000000101000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000010000000000000000000010000000000000000000000000000000010000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000001000000000000000010000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000010100000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010100000000000010000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000100010000000000000000000000000000000000000000000000010000000000000000000000100001000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000010000000000100000000000000001000001000000000000000000000000000001100000000000000001010000000010000000000000000000000000000000000000
TEMOZOLOMIDE,Cn1nnc2c(C(N)=O)ncn2c1=O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000100000000000010000000000000000100000000000000000000000000000000000000000100000000000001000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000001000000000000000000000010000000000000000000000000000000000000000000000000000000
TOPOTECAN,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,00000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000101000000100000000000000000100000000000000000001000000010000010010000000000100100000000010100000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000100000010010000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000101000110000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000010000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000100000100000000000000000000000000001000000000000000100000000100000000000000000000000001000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000001001000000000000000000000000000000000000100000000000000000000001010000000000001010000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000010001000000000010000000000000000000100000000000000000000000000000000000000000000000000000000001000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000010000100000000000000000000001000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000010010000010000000000001000000000000000000000000000000010000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001000000000000000000000000000000000000000000000000010000000000000
VINBLASTINE,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,00000000100000000000000000000000000000000000000000000011000000000001100000000000100100000000000000000000000000100000000100000000000000000010000000000000000001000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000010000000000000000000010000000010000000000000010000000000000010000000100000000000100000000000001000000000000000001000000000000001000000000000000000000000000000000000100000000000000000000000001001000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000010000000000101000000000000000000000000000000000000000000000000100001100000000000000000000000000000000000100000000000100000000000000000000000100001000000000000000100000000000000000000000000000000100000000001000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000100000001000000001000000000010000000000000100100000010000000000000000000100000100000001000000101010001100000000000000000000000000000000100000000010000000000001000000000000000000000000010100001100000000110000000010000000000001001001000001000001000000000000100000000000000000000000001000001000001010000000000000000100000010100000001000000001000000000000000000000000001100000000000000000000010000000000000000110100000000000000000000000000000000000000000000000000000100010000000000001000000000000001000001000000000000000001000001000000000000000000000010000010001000000000000001000000000000000000000000000000000000001010000000000000000000000000000000001000000000000000000000010000000000000100000001000000000010000000000100000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000010001000000100001000000000001000000000000000000001000000000000000001000000000000010000001000000000000000000010000000000010000000010000000001001000000000000000000001000000000000000000010000000000000000000000000000001000010010000010000000100000000010000000000000000000000000000000010000000000000010000000000000000000
VINORELBINE,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,00000000100000000000000000000000000000000000000000000010000000000001000000000000100000000000000000000000000000100000000100000000000000000000000000000000000001000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000010000000000000000000010000000010000000000000010000000000000000000000000000000000100000000000000000000000000000101000000000000001000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000010000000000001000000000000000001000000000000000000000000000000000001001000000000000000000000000000000000100000000000100000000000000100000000100001000000000000000100000000001000000000000000000000100000000001000000000000000000000001000000000000000000000001000000000000000000010000000000000000000000000100000001000000001000000000000000000000000100100000000000000000000000000000000100000011000000100010001100000000000000000000000000000000000000000010000000000001000000000100000000000000011100101100010000110000000010000000000001001001000001010001000000000000100000000010000000000000001000001000001010000000000000000100000010100000001000000001000000000000000000000000001100000000000000001000010000000000000000110000000000000000000000000000000000000000001000000000000100010000000000001000000000000001000001000000000000000001000001000000000000000000000110000010000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000010000001000000000000000000000000010000000000100000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000100101100000000001000000000000000000011000000000000000100000000000000010000001000000000000000000010000000000010000000010000000001001000000000000000000001000000100000000000010000000000000010000000000000100000010000000010000000100000000010000000000100000000000000000000010000000000000010000000000000000000
ZOLINZA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,00000000000100000000000000000000000000000100000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010100000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000010000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
